ADDACC,Add Access Code,アクセスコードを追加する
CHGSVCCPYD,Change SAN Volume Controller ASP Copy Description,SVC ASPコピー記述を変更する
CHGSVCSSN,Change SAN Volume Controller ASP Session,SVC ASPセッションを変更する
CHGSVRAUTE,Change Server Authentication Entry,サーバー権限項目を変更する
CHGSYSDIRA,Change System Directory Attributes,システム・ディレクトリー属性を変更する
CHGSYSJOB,Change System Job,システム・ジョブを変更する
CHGSYSLIBL,Change System Library List,システム・ライブラリー・リストを変更する
CHGSYSVAL,Change System Value,システム値を変更する
CHGTAPCTG,Change Tape Cartridge,磁気テープ・カートリッジを変更する
CHGTAPF,Change Tape File,磁気テープ・ファイルを変更する
CHGTCPA,Change TCP/IP Attributes,TCP/IP属性を変更する
CHGTCPDMN,Change TCP/IP Domain,TCP/IPドメインを変更する
CHGTCPHTE,Change TCP/IP Host Table Entry,TCP/IPホスト・テーブル項目を変更する
CHGTCPIFC,Change TCP/IP Interface,TCP/IPインターフェースを変更する
CHGTCPRTE,Change TCP/IP Route,TCP/IP経路を変更する
CHGTCPSVR,Change TCP/IP Server,TCP/IPサーバーを変更する
CHGTELNA,Change TELNET Attributes,TELNET属性を変更する
CHGTFTPA,Change TFTP Attributes,TFTP属性を変更する
CHGTIMZON,Change Time Zone Description,時間帯記述を変更する
CHGTOTPKEY,Change TOTP Key,TOTPキーを変更する
CHGUSRAUD,Change User Auditing,ユーザー監査を変更する
CHGUSRPRF,Change User Profile,ユーザー・プロファイルを変更する
CHGUSRPRTI,Change User Print Information,ユーザー印刷情報を変更する
CHGUSRSMTP,Change User SMTP,ユーザーSMTPを変更する
CHGUSRSNMP,Change User for SNMP,SNMPユーザーを変更する
CHGUSRTRC,Change User Trace,ユーザー・トレースを変更する
CHGVACSNMP,Change VACM for SNMP,SNMPのVACMを変更する
CHGVAR,Change Variable,変数を変更する
CHGVTMAP,Change VT Keyboard Map,VTキーボード・マップを変更する
CHGWLCGRP,Change Workload Group,作業負荷グループを変更する
CHGWSE,Change Work Station Entry,ワークステーション項目を変更する
CHGWTR,Change Writer,書き出しプログラムを変更する
CHKASPBAL,Check Auxiliary Storage Pool Balance,ASPバランスを検査する
CHKCMNTRC,Check Communications Trace,通信トレースを検査する
CHKDLO,Check Document Library Object,文書ライブラリー・オブジェクトを検査する
CHKDNSCFG,Check Domain Name System Configuration,DNS構成を検査する
CHKDNSZNE,Check Domain Name System Zone,DNSゾーンを検査する
CHKEXPBRM,Check Expired Media for BRMS,BRMSの満了媒体を検査する
CHKIGCTBL,Check DBCS Font Table,DBCSフォント・テーブルを検査する
CHKIN,Check In Object,オブジェクトをチェックインする
CHKMSTKVV,Check Master Key Verification Value,マスター・キー検査値を検査する
CHKOBJ,Check Object,オブジェクトを検査する
CHKOBJITG,Check Object Integrity,オブジェクト保全性を検査する
CHKOPTVOL,Check Optical Volume,光ディスク・ボリュームを検査する
CHKOUT,Check Out Object,オブジェクトをチェックアウトする
CHKPFRCOL,Check Performance Collection,パフォーマンス収集を検査する
CHKPRDOPT,Check Product Option,プロダクト・オプションを検査する
CHKPWD,Check Password,パスワードを検査する
CHKRCDLCK,Check Record Locks,レコード・ロックを検査する
CHKTAP,Check Tape,磁気テープを検査する
CHKTOTP,Check TOTP,TOTPを検査する
CLOF,Close File,ファイルをクローズする
CLOSE,Close Database File,データベース・ファイルをクローズする
CLRJOBQ,Clear Job Queue,ジョブ待ち行列をクリアする
CLRLIB,Clear Library,ライブラリーをクリアする
CLRMSGQ,Clear Message Queue,メッセージ待ち行列をクリアする
CLRMSTKEY,Clear Master Key,マスター・キーをクリアする
CLROUTQ,Clear Output Queue,出力待ち行列をクリアする
CLRPFM,Clear Physical File Member,物理ファイル・メンバーをクリアする
CLRPOOL,Clear Pool,プールをクリアする
CLRSAVF,Clear Save File,保管ファイルをクリアする
CLRSVRSEC,Clear Server Security Data,サーバー機密保護データをクリアする
CLRTRCDTA,Clear Trace Data,トレース・データをクリアする
CMD,Command Definition,コマンド定義
CMPJRNIMG,Compare Journal Images,ジャーナル・イメージを比較する
COMMIT,Commit,コミットする
COPY,Copy Object,オブジェクトをコピーする
COPYRIGHT,Copyright,著作権
CPROBJ,Compress Object,オブジェクトを圧縮する
CPY,Copy Object,オブジェクトをコピーする
CPYAUDJRNE,Copy Audit Journal Entries,監査ジャーナル項目をコピーする
CPYCFGL,Copy Configuration List,構成リストをコピーする
CPYDOC,Copy Document,文書をコピーする
CPYF,Copy File,ファイルをコピーする
CPYFCNARA,Copy Functional Area,機能域をコピーする
CPYFRMARCF,Copy From Archive File,アーカイブ・ファイルからコピーする
CPYFRMDIR,Copy From Directory,ディレクトリーからコピーする
CPYFRMIMPF,Copy From Import File,インポート・ファイルからコピーする
CPYFRMLDIF,Copy From LDIF File,LDIFファイルからコピーする
CPYFRMMSD,Copy From Main Storage Dump,主記憶ダンプからコピーする
CPYFRMPCD,Copy From PC Document,PC文書からコピーする
CPYFRMPCFF,Copy From Portable Compiled Format File,PCFFからコピーする
CPYFRMQRYF,Copy From Query File,Queryファイルからコピーする
CPYFRMSTMF,Copy From Stream File,ストリーム・ファイルからコピーする
CPYFRMTAP,Copy From Tape,磁気テープからコピーする
CPYGPHFMT,Copy Graph Format,グラフ様式をコピーする
CPYGPHPKG,Copy Graph Package,グラフ・パッケージをコピーする
CPYIGCTBL,Copy DBCS Font Table,DBCSフォント・テーブルをコピーする
CPYJOBJS,Copy Job using Advanced Job Scheduler,AJSを使用してジョブをコピーする
CPYLIB,Copy Library,ライブラリーをコピーする
CPYMEDIBRM,Copy Media Information for BRMS,BRMSの媒体情報をコピーする
CPYOPT,Copy Optical,光ディスクをコピーする
CPYPFRCOL,Copy Performance Collection,パフォーマンス収集をコピーする
CPYPFRDTA,Copy Performance Data,パフォーマンス・データをコピーする
CPYPTF,Copy Program Temporary Fix,PTFをコピーする
CPYPTFCVR,Copy Program Temporary Fix Cover Letter,PTFカバー・レターをコピーする
CPYPTFGRP,Copy Program Temporary Fix Group,PTFグループをコピーする
CPYPTFSAVF,Copy Program Temporary Fix to Save File,PTFを保管ファイルにコピーする
CPYSPLF,Copy Spooled File,スプール・ファイルをコピーする
CPYSRCF,Copy Source File,ソース・ファイルをコピーする
CPYTCPHT,Copy TCP/IP Host Table,TCP/IPホスト・テーブルをコピーする
CPYTOARCF,Copy To Archive File,アーカイブ・ファイルへコピーする
CPYTODIR,Copy To Directory,ディレクトリーへコピーする
CPYTOIMPF,Copy To Import File,インポート・ファイルへコピーする
CPYTOLDIF,Copy To LDIF File,LDIFファイルへコピーする
CPYTOMSD,Copy To Main Storage Dump,主記憶ダンプへコピーする
CPYTOPCD,Copy To PC Document,PC文書へコピーする
CPYTOPCFF,Copy To Portable Compiled Format File,PCFFへコピーする
CPYTOSTMF,Copy To Stream File,ストリーム・ファイルへコピーする
CPYTOTAP,Copy To Tape,磁気テープへコピーする
CPYVPNCFGF,Copy VPN Configuration File,VPN構成ファイルをコピーする
CRTAFPDTA,Create Advanced Function Printer Data,AFPデータを処理する
CRTALRTBL,Create Alert Table,アラート・テーブルを作成する
CRTAUTHLR,Create Authority Holder,権限ホルダーを作成する
CRTAUTL,Create Authorization List,権限リストを作成する
CRTBNDC,Create Bound C Program,バインドCプログラムを作成する
CRTBNDCBL,Create Bound COBOL Program,バインドCOBOLプログラムを作成する
CRTBNDCL,Create Bound CL Program,バインドCLプログラムを作成する
CRTBNDCPP,Create Bound C++ Program,バインドC++プログラムを作成する
CRTBNDDIR,Create Binding Directory,バインド・ディレクトリーを作成する
CRTBNDRPG,Create Bound RPG Program,バインドRPGプログラムを作成する
CRTCAD,Create Cluster Administrative Domain,クラスター管理ドメインを作成する
CRTCBLMOD,Create COBOL Module,COBOLモジュールを作成する
CRTCBLPGM,Create COBOL Program,COBOLプログラムを作成する
CRTCFGL,Create Configuration List,構成リストを作成する
CRTCKMKSF,Create Crytographic Key Management Keystore File,暗号鍵管理キーストア・ファイルを作成する
CRTCLD,Create C Locale Description,Cロケール記述を作成する
CRTCLMOD,Create CL Module,CLモジュールを作成する
CRTCLPGM,Create CL Program,CLプログラムを作成する
CRTCLS,Create Class,クラスを作成する
CRTCLU,Create Cluster,クラスターを作成する
CRTCMD,Create Command,コマンドを作成する
CRTCMOD,Create C Module,Cモジュールを作成する
CRTCOSD,Create Class-of-Service Description,サービス・クラス記述を作成する
CRTCPPMOD,Create C++ Module,C++モジュールを作成する
CRTCRG,Create Cluster Resource Group,クラスター・リソース・グループを作成する
CRTCRGCNR,Create CRG Container,CRGコンテナーを作成する
CRTCRQD,Create Change Request Description,変更要求記述を作成する
CRTCSI,Create Communications Side Information,通信サイド情報を作成する
CRTCTLAPPC,Create Controller Description (APPC),コントローラー記述(APPC)を作成する
CRTCTLASC,Create Controller Description (Async),コントローラー記述(非同期)を作成する
CRTCTLBSC,Create Controller Description (BSC),コントローラー記述(BSC)を作成する
CRTCTLHOST,Create Controller Description (SNA Host),コントローラー記述(SNAホスト)を作成する
CRTCTLLWS,Create Controller Description (Local WS),コントローラー記述(ローカルWS)を作成する
CRTCTLNET,Create Controller Description (Network),コントローラー記述(ネットワーク)を作成する
CRTCTLTAP,Create Controller Description (Tape),コントローラー記述(磁気テープ)を作成する
CRTCTLVWS,Create Controller Description (Virtual WS),コントローラー記述(仮想WS)を作成する
CRTDDMF,Create Distributed Data Management File,DDMファイルを作成する
CRTDDNSCFG,Create Dynamic Domain Name System Configuration,動的DNS構成を作成する
CRTDEVAPPC,Create Device Description (APPC),装置記述(APPC)を作成する
CRTDEVASC,Create Device Description (Async),装置記述(非同期)を作成する
CRTDEVASP,Create Device Description (ASP),装置記述(ASP)を作成する
CRTDEVBSC,Create Device Description (BSC),装置記述(BSC)を作成する
CRTDEVCRP,Create Device Description (Crypto),装置記述(暗号)を作成する
CRTDEVDSP,Create Device Description (Display),装置記述(表示装置)を作成する
CRTDEVHOST,Create Device Description (SNA Host),装置記述(SNAホスト)を作成する
CRTDEVINTR,Create Device Description (Intra),装置記述(Intra)を作成する
CRTDEVMLB,Create Device Description (Media Lib),装置記述(媒体ライブラリー)を作成する
CRTDEVNET,Create Device Description (Network),装置記述(ネットワーク)を作成する
CRTDEVNWSH,Create Device Description (NWSH),装置記述(NWSH)を作成する
CRTDEVOPT,Create Device Description (Optical),装置記述(光ディスク)を作成する
CRTDEVPRT,Create Device Description (Printer),装置記述(印刷装置)を作成する
CRTDEVSNPT,Create Device Description (SNPT),装置記述(SNPT)を作成する
CRTDEVTAP,Create Device Description (Tape),装置記述(磁気テープ)を作成する
CRTDFUDSPF,Create Data File Utility Display File,DFU表示ファイルを作成する
CRTDIR,Create Directory,ディレクトリーを作成する
CRTDOC,Create Document,文書を作成する
CRTDPRTBL,Create DataPropagator Tables,DataPropagatorテーブルを作成する
CRTDSPF,Create Display File,表示ファイルを作成する
CRTDSTL,Create Distribution List,配布リストを作成する
CRTDTAARA,Create Data Area,データ域を作成する
CRTDTADCT,Create Data Dictionary,データ・ディクショナリーを作成する
CRTDTAQ,Create Data Queue,データ待ち行列を作成する
CRTDUPOBJ,Create Duplicate Object,重複オブジェクトを作成する
CRTEDTD,Create Edit Description,編集記述を作成する
CRTFCNARA,Create Functional Area,機能域を作成する
CRTFLR,Create Folder,フォルダーを作成する
CRTFMWPRD,Create Firmware Product,ファームウェア・プロダクトを作成する
CRTFNTRSC,Create Font Resource,フォント・リソースを作成する
CRTFNTTBL,Create Font Table,フォント・テーブルを作成する
CRTFORMDF,Create Form Definition,用紙定義を作成する
CRTFTR,Create Filter,フィルターを作成する
CRTGPHFMT,Create Graph Format,グラフ様式を作成する
CRTGPHPKG,Create Graph Package,グラフ・パッケージを作成する
CRTGSS,Create Graphics Symbol Set,グラフィックス記号セットを作成する
CRTHSTDTA,Create Historical Data,ヒストリカル・データを作成する
CRTICFF,Create Intersystem Communications Function File,ICFファイルを作成する
CRTIGCDCT,Create DBCS Conversion Dictionary,DBCS変換ディクショナリーを作成する
CRTIMGCLG,Create Image Catalog,イメージ・カタログを作成する
CRTINSTOND,Create Instance,インスタンスを作成する
CRTJOBD,Create Job Description,ジョブ記述を作成する
CRTJOBQ,Create Job Queue,ジョブ待ち行列を作成する
CRTJRN,Create Journal,ジャーナルを作成する
CRTJRNRCV,Create Journal Receiver,ジャーナル・レシーバーを作成する
CRTLF,Create Logical File,論理ファイルを作成する
CRTLIB,Create Library,ライブラリーを作成する
CRTLINASC,Create Line Description (Async),回線記述(非同期)を作成する
CRTLINBSC,Create Line Description (BSC),回線記述(BSC)を作成する
CRTLINETH,Create Line Description (Ethernet),回線記述(イーサネット)を作成する
CRTLOCALE,Create Locale,ロケールを作成する
CRTMNU,Create Menu,メニューを作成する
CRTMODD,Create Mode Description,モード記述を作成する
CRTMSGF,Create Message File,メッセージ・ファイルを作成する
CRTMSGFMNU,Create Menu from Message Files,メッセージ・ファイルからメニューを作成する
CRTMSGQ,Create Message Queue,メッセージ待ち行列を作成する
CRTNODGRP,Create Node Group,ノード・グループを作成する
CRTNODL,Create Node List,ノード・リストを作成する
CRTNTBD,Create NetBIOS Description,NetBIOS記述を作成する
CRTNWSCFG,Create Network Server Configuration,ネットワーク・サーバー構成を作成する
CRTNWSD,Create Network Server Description,ネットワーク・サーバー記述を作成する
CRTNWSSTG,Create Network Server Storage Space,ネットワーク・サーバー記憶スペースを作成する
CRTOUTQ,Create Output Queue,出力待ち行列を作成する
CRTOVL,Create Overlay,オーバーレイを作成する
CRTPAGDFN,Create Page Definition,ページ定義を作成する
CRTPAGSEG,Create Page Segment,ページ・セグメントを作成する
CRTPDFMAP,Create PDF Map,PDFマップを作成する
CRTPDG,Create Print Descriptor Group,印刷記述子グループを作成する
CRTPEXDTA,Create Performance Explorer Data,PEXデータを作成する
CRTPF,Create Physical File,物理ファイルを作成する
CRTPFRDTA,Create Performance Data,パフォーマンス・データを作成する
CRTPFRSUM,Create Performance Summary,パフォーマンス要約を作成する
CRTPGM,Create Program,プログラムを作成する
CRTPNLGRP,Create Panel Group,パネル・グループを作成する
CRTPRDDFN,Create Product Definition,プロダクト定義を作成する
CRTPRDLOD,Create Product Load,プロダクト・ロードを作成する
CRTPRTF,Create Printer File,印刷装置ファイルを作成する
CRTPRXCMD,Create Proxy Command,プロキシー・コマンドを作成する
CRTPSFCFG,Create Print Services Facility Configuration,PSF構成を作成する
CRTPTF,Create Program Temporary Fix,PTFを作成する
CRTPTFPKG,Create Program Temporary Fix Package,PTFパッケージを作成する
CRTQMFORM,Create Query Management Form,QMフォームを作成する
CRTQMQRY,Create Query Management Query,QM照会を作成する
CRTQSTDB,Create Question/Answer Database,Q/Aデータベースを作成する
CRTQSTLOD,Create Question/Answer Database Load,Q/Aデータベース・ロードを作成する
CRTRNDCCFG,Create Remote Name Daemon Control Configuration,RNDC構成を作成する
CRTRPGMOD,Create RPG Module,RPGモジュールを作成する
CRTRPGPGM,Create RPG/400 Program,RPG/400プログラムを作成する
CRTRPTPGM,Create Auto Report RPG Program,自動報告書RPGプログラムを作成する
CRTS36CBL,Create S/36 COBOL Program,S/36 COBOLプログラムを作成する
CRTS36DSPF,Create S/36 Display File,S/36表示ファイルを作成する
CRTS36MNU,Create S/36 Menu,S/36メニューを作成する
CRTS36MSGF,Create S/36 Message File,S/36メッセージ・ファイルを作成する
CRTS36RPG,Create RPG II Program,RPG IIプログラムを作成する
CRTS36RPGR,Create Console Display File,コンソール表示ファイルを作成する
CRTS36RPT,Create S/36 RPG II Auto Report,S/36 RPG II自動報告書を作成する
CRTSAVF,Create Save File,保管ファイルを作成する
CRTSBSD,Create Subsystem Description,サブシステム記述を作成する
CRTSCHIDX,Create Search Index,検索索引を作成する
CRTSDSTL,Create SMTP Dist List,SMTP配布リストを作成する
CRTSPADCT,Create Spelling Aid Dictionary,スペル援助ディクショナリーを作成する
CRTSQLCBL,Create SQL COBOL Program,SQL COBOLプログラムを作成する
CRTSQLCBLI,Create SQL ILE COBOL Object,SQL ILE COBOLオブジェクトを作成する
CRTSQLCI,Create SQL ILE C Object,SQL ILE Cオブジェクトを作成する
CRTSQLCPPI,Create SQL ILE C++ Object,SQL ILE C++オブジェクトを作成する
CRTSQLPKG,Create SQL Package,SQLパッケージを作成する
CRTSQLPLI,Create SQL PL/I Program,SQL PL/Iプログラムを作成する
CRTSQLRPG,Create SQL RPG Program,SQL RPGプログラムを作成する
CRTSQLRPGI,Create SQL ILE RPG Object,SQL ILE RPGオブジェクトを作成する
CRTSRCPF,Create Source Physical File,ソース物理ファイルを作成する
CRTSRVCFG,Create Service Configuration,サービス構成を作成する
CRTSRVPGM,Create Service Program,サービス・プログラムを作成する
CRTSSTUSR,Create Service Tools User ID,保守ツール・ユーザーIDを作成する
CRTTAPCGY,Create Tape Category,磁気テープ・カテゴリーを作成する
CRTTAPF,Create Tape File,磁気テープ・ファイルを作成する
CRTTBL,Create Table,テーブルを作成する
CRTTIMZON,Create Time Zone Description,時間帯記述を作成する
CRTUDFS,Create User-Defined File System,ユーザー定義ファイル・システムを作成する
CRTUSRPRF,Create User Profile,ユーザー・プロファイルを作成する
CRTVLDL,Create Validation List,妥当性検査リストを作成する
CRTWSCST,Create Workstation Customizing Object,WSカスタマイズ・オブジェクトを作成する
CVTCLSRC,Convert CL Source,CLソースを変換する
CVTDAT,Convert Date,日付を変換する
CVTDIR,Convert Directory,ディレクトリーを変換する
CVTDLSNAM,Convert Document Library Services Name,文書ライブラリー・サービス名を変換する
CVTEDU,Convert Education,教育を変換する
CVTNAMSMTP,Convert SMTP Names,SMTP名を変換する
CVTOPTBKU,Convert Optical Backup,光ディスク・バックアップを変換する
CVTOVLPFM,Convert Overlay to PFM,オーバーレイをPFMに変換する
CVTPAGSPFM,Convert Page Segment to PFM,ページ・セグメントをPFMに変換する
CVTPCDPAGS,Convert PC Document to Page Segment,PC文書をページ・セグメントに変換する
CVTPFMPAGS,Convert Physical File Member to Page Segment,PFMをページ・セグメントに変換する
CVTPFRCOL,Convert Performance Collection,パフォーマンス収集を変換する
CVTPFRDTA,Convert Performance Data,パフォーマンス・データを変換する
CVTPFRTHD,Convert Performance Thread Data,パフォーマンス・スレッド・データを変換する
CVTRPCSRC,Convert Remote Procedure Call Source,RPCソースを変換する
CVTRPGSRC,Convert RPG Source,RPGソースを変換する
CVTTOFLR,Convert To Folder,フォルダーに変換する
CVTUSRCERT,Convert User Certificate,ユーザー証明書を変換する
DATA,Data,データ
DB2LDIF,Copy To LDIF File,LDIFファイルへコピーする
DCPOBJ,Decompress Object,オブジェクトを圧縮解除する
DEL,Remove Link,リンクを除去する
DIG,Start DIG Query,DIG照会を開始する
DLCOBJ,Deallocate Object,オブジェクトの割り振りを解除する
DLTALR,Delete Alert,アラートを削除する
DLTALRTBL,Delete Alert Table,アラート・テーブルを削除する
DLTAPARDTA,Delete APAR Data,APARデータを削除する
DLTAUTCOL,Delete Authority Collection,権限収集を削除する
DLTAUTHLR,Delete Authority Holder,権限ホルダーを削除する
DLTAUTL,Delete Authorization List,権限リストを削除する
DLTBNDDIR,Delete Binding Directory,バインド・ディレクトリーを削除する
DLTCAD,Delete Cluster Administrative Domain,クラスター管理ドメインを削除する
DLTCFGL,Delete Configuration List,構成リストを削除する
DLTCLD,Delete C Locale Description,Cロケール記述を削除する
DLTCLS,Delete Class,クラスを削除する
DLTCLU,Delete Cluster,クラスターを削除する
DLTCMD,Delete Command,コマンドを削除する
DLTCMNTRC,Delete Communications Trace,通信トレースを削除する
DLTCNNL,Delete Connection List,接続リストを削除する
DLTCOSD,Delete Class-of-Service Description,サービス・クラス記述を削除する
DLTCRG,Delete Cluster Resource Group,クラスター・リソース・グループを削除する
DLTCRGCLU,Delete Cluster Resource Group Cluster,CRGクラスターを削除する
DLTCRGCNR,Delete CRG Container,CRGコンテナーを削除する
DLTCRQD,Delete Change Request Description,変更要求記述を削除する
DLTCSI,Delete Communications Side Information,通信サイド情報を削除する
DLTCTLD,Delete Controller Description,コントローラー記述を削除する
DLTDEVD,Delete Device Description,装置記述を削除する
DLTDEVMLB,Delete Device Media Library,媒体ライブラリー装置を削除する
DLTDFUPGM,Delete Data File Utility Program,DFUプログラムを削除する
DLTDLO,Delete Document Library Object,文書ライブラリー・オブジェクトを削除する
DLTDOCL,Delete Document List,文書リストを削除する
DLTDST,Delete Distribution,配布を削除する
DLTDSTL,Delete Distribution List,配布リストを削除する
DLTDTAARA,Delete Data Area,データ域を削除する
DLTDTADCT,Delete Data Dictionary,データ・ディクショナリーを削除する
DLTDTAQ,Delete Data Queue,データ待ち行列を削除する
DLTEDTD,Delete Edit Description,編集記述を削除する
DLTEXPSPLF,Delete Expired Spooled Files,満了スプール・ファイルを削除する
DLTF,Delete File,ファイルを削除する
DLTFCNARA,Delete Functional Area,機能域を削除する
DLTFNTRSC,Delete Font Resource,フォント・リソースを削除する
DLTFNTTBL,Delete Font Table,フォント・テーブルを削除する
DLTFORMDF,Delete Form Definition,用紙定義を削除する
DLTFTR,Delete Filter,フィルターを削除する
DLTGPHFMT,Delete Graph Format,グラフ様式を削除する
DLTGPHPKG,Delete Graph Package,グラフ・パッケージを削除する
DLTGSS,Delete Graphic Symbol Set,グラフィック記号セットを削除する
DLTHSTDTA,Delete Historical Data,ヒストリカル・データを削除する
DLTIGCDCT,Delete DBCS Conversion Dictionary,DBCS変換ディクショナリーを削除する
DLTIGCSRT,Delete DBCS Sort Table,DBCSソート・テーブルを削除する
DLTIGCTBL,Delete DBCS Font Table,DBCSフォント・テーブルを削除する
DLTIMGCLG,Delete Image Catalog,イメージ・カタログを削除する
DLTIPXD,Delete IPX Description,IPX記述を削除する
DLTJOBD,Delete Job Description,ジョブ記述を削除する
DLTJOBQ,Delete Job Queue,ジョブ待ち行列を削除する
DLTJRN,Delete Journal,ジャーナルを削除する
DLTJRNRCV,Delete Journal Receiver,ジャーナル・レシーバーを削除する
DLTKRBCCF,Delete Kerberos Credentials Cache File,Kerberos資格情報キャッシュ・ファイルを削除する
DLTLIB,Delete library,ライブラリーを削除する
DLTLICPGM,Delete Licensed Program,ライセンス・プログラムを削除する
DLTLIND,Delete Line Description,回線記述を削除する
DLTLOCALE,Delete Locale,ロケールを削除する
DLTMEDDFN,Delete Media Definition,媒体定義を削除する
DLTMGTCOL,Delete Management Collection,管理収集を削除する
DLTMNU,Delete Menu,メニューを削除する
DLTMOD,Delete Module,モジュールを削除する
DLTMODD,Delete Mode Description,モード記述を削除する
DLTMSGF,Delete Message File,メッセージ・ファイルを削除する
DLTMSGQ,Delete Message Queue,メッセージ待ち行列を削除する
DLTNETF,Delete Network File,ネットワーク・ファイルを削除する
DLTNODGRP,Delete Node Group,ノード・グループを削除する
DLTNODL,Delete Node List,ノード・リストを削除する
DLTNTBD,Delete NetBIOS Descriptions,NetBIOS記述を削除する
DLTNWID,Delete Network Interface Description,ネットワーク・インターフェース記述を削除する
DLTNWSCFG,Delete Network Server Configuration,ネットワーク・サーバー構成を削除する
DLTNWSD,Delete Network Server Description,ネットワーク・サーバー記述を削除する
DLTNWSSTG,Delete Network Server Storage Space,ネットワーク・サーバー記憶スペースを削除する
DLTOBJ,Delete Object,オブジェクトを削除する
DLTOUTQ,Delete Output Queue,出力待ち行列を削除する
DLTOVL,Delete Overlay,オーバーレイを削除する
DLTOVR,Delete Override,指定変更を削除する
DLTOVRDEVE,Delete Override Program Device Entry,指定変更プログラム装置項目を削除する
DLTPAGDFN,Delete Page Definition,ページ定義を削除する
DLTPAGSEG,Delete Page Segment,ページ・セグメントを削除する
DLTPDFMAP,Delete PDF Map,PDFマップを削除する
DLTPDG,Delete Print Descriptor Group,印刷記述子グループを削除する
DLTPEXDTA,Delete Performance Explorer Data,PEXデータを削除する
DLTPFRCOL,Delete Performance Collection,パフォーマンス収集を削除する
DLTPFRDTA,Delete Performance Data,パフォーマンス・データを削除する
DLTPGM,Delete Program,プログラムを削除する
DLTPNLGRP,Delete Panel Group,パネル・グループを削除する
DLTPRB,Delete Problem,問題を削除する
DLTPRDDFN,Delete Product Definition,プロダクト定義を削除する
DLTPRDLOD,Delete Product Load,プロダクト・ロードを削除する
DLTPSFCFG,Delete Print Services Facility Configuration,PSF構成を削除する
DLTPTF,Delete Program Temporary Fix,PTFを削除する
DLTQMFORM,Delete Query Management Form,QMフォームを削除する
DLTQMQRY,Delete Query Management Query,QM照会を削除する
DLTQRY,Delete Query,Queryを削除する
DLTQST,Delete Questions and Answers,Q/Aを削除する
DLTQSTDB,Delete Question/Answer Database,Q/Aデータベースを削除する
DLTSBSD,Delete Subsystem Description,サブシステム記述を削除する
DLTSCHIDX,Delete Search Index,検索索引を削除する
DLTSDSTL,Delete SMTP Dist List,SMTP配布リストを削除する
DLTSPADCT,Delete Spelling Aid Dictionary,スペル援助ディクショナリーを削除する
DLTSPLF,Delete Spooled File,スプール・ファイルを削除する
DLTSQLPKG,Delete SQL Package,SQLパッケージを削除する
DLTSRVCFG,Delete Service Configuration,サービス構成を削除する
DLTSRVPGM,Delete Service Program,サービス・プログラムを削除する
DLTSSTUSR,Delete Service Tools User ID,保守ツール・ユーザーIDを削除する
DLTTAPCGY,Delete Tape Category,磁気テープ・カテゴリーを削除する
DLTTBL,Delete Table,テーブルを削除する
DLTTIMZON,Delete Time Zone Description,時間帯記述を削除する
DLTTRC,Delete Trace,トレースを削除する
DLTUDFS,Delete User-Defined File System,ユーザー定義ファイル・システムを削除する
DLTUSRIDX,Delete User Index,ユーザー索引を削除する
DLTUSRPRF,Delete User Profile,ユーザー・プロファイルを削除する
DLTUSRQ,Delete User Queue,ユーザー待ち行列を削除する
DLTUSRSPC,Delete User Space,ユーザー・スペースを削除する
DLTUSRTRC,Delete User Trace,ユーザー・トレースを削除する
DLTVLDL,Delete Validation List,妥当性検査リストを削除する
DLTWSCST,Delete Workstation Customizing Object,WSカスタマイズ・オブジェクトを削除する
DLYJOB,Delay Job,ジョブを遅延させる
DLYSRVAGTP,Delay SRVAGT Problem Reporting,SRVAGT問題報告を遅延させる
DMP,Dump Object,オブジェクトをダンプする
DMPBRM,Dump BRMS,BRMSをダンプする
DMPCLPGM,Dump CL Program,CLプログラムをダンプする
DMPCLUTRC,Dump Cluster Trace,クラスター・トレースをダンプする
DMPCMNTRC,Dump Communications Trace,通信トレースをダンプする
DMPDLO,Dump Document Library Object,文書ライブラリー・オブジェクトをダンプする
DMPDNSJRNF,Dump Domain Name System Journal File,DNSジャーナル・ファイルをダンプする
DMPJOB,Dump Job,ジョブをダンプする
DMPJOBINT,Dump Job Internal,ジョブ内部をダンプする
DMPMEMINF,Dump Main Memory Information,主記憶情報をダンプする
DMPOBJ,Dump Object,オブジェクトをダンプする
DMPSYSOBJ,Dump System Object,システム・オブジェクトをダンプする
DMPTAP,Dump Tape,磁気テープをダンプする
DMPTRC,Dump Trace,トレースをダンプする
DMPUSRPRF,Dump User Profile,ユーザー・プロファイルをダンプする
DMPUSRTRC,Dump User Trace,ユーザー・トレースをダンプする
DSCJOB,Disconnect Job,ジョブを切断する
DSPACC,Display Access Code,アクセス・コードを表示する
DSPACCAUT,Display Access Code Authority,アクセス・コード権限を表示する
DSPACTPJ,Display Active Prestart Jobs,活動事前開始ジョブを表示する
DSPACTPRFL,Display Active Profile List,活動プロファイル・リストを表示する
DSPACTSCD,Display Activation Schedule,活動化スケジュールを表示する
DSPAPPNINF,Display APPN Information,APPN情報を表示する
DSPASPBRM,Display Auxiliary Storage Pool Information,ASP情報を表示する
DSPASPCPYD,Display ASP Copy Description,ASPコピー記述を表示する
DSPASPINF,Display ASP Information,ASP情報を表示する
DSPASPSSN,Display ASP Session,ASPセッションを表示する
DSPASPSTS,Display Auxiliary Storage Pool Status,ASP状況を表示する
DSPATR,Display Attributes,属性を表示する
